state,left,stay,right
0,-30.75636419,-31.03808551,-31.03021931
1,-32.08646984,-31.88437125,-32.16085153
2,-33.09836523,-32.90565121,-33.06188935
3,-33.57725886,-33.72090396,-33.77433935
4,-33.9228268,-34.10065582,-34.11887876
5,-34.4487744,-34.71420622,-34.65359504
6,-34.89611592,-34.90023539,-34.94395436
7,-34.70004289,-34.78936327,-34.81042805
8,-32.40165925,-32.6893869,-32.26289193
9,-30.10868374,-30.42607382,-30.35254383
10,-3.597346963,-3.724787264,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,-31.06759128,-31.07448235,-30.57959416
18,-31.88600794,-30.93395182,-31.93413089
19,-32.897853,-32.03795652,-32.91187321
20,-33.78191403,-33.0106272,-33.77690864
21,-33.52907207,-34.30513192,-34.30524399
22,-34.04193997,-34.7956727,-34.79213413
23,-34.5944794,-35.21693778,-35.24602863
24,-35.0521094,-35.58962066,-35.62326432
25,-35.35593856,-35.84454841,-35.81602892
26,-35.76293538,-35.96157729,-35.97900927
27,-35.25119517,-35.13530311,-35.10308813
28,-31.31185306,-31.27333192,-31.1307705
29,-21.60411194,-23.23562655,-23.67529438
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,-29.56760187,-31.50933936,-31.4406337
36,-32.39274115,-31.06871181,-32.34617294
37,-33.32271336,-31.85673848,-33.36456527
38,-34.63755858,-33.23545897,-34.63133197
39,-35.12455633,-34.21049243,-35.1833071
40,-34.53403896,-35.7470167,-35.77782104
41,-35.02945387,-36.30811423,-36.19914471
42,-35.40520282,-36.54782032,-36.47626144
43,-36.67493514,-35.68273242,-36.70056112
44,-36.35865355,-36.51114125,-36.5089501
45,-36.48449875,-36.62881115,-36.55031819
46,-36.08255884,-36.14458384,-36.04448241
47,-31.74481035,-32.66836403,-32.16505147
48,-25.06380334,-24.92049509,-25.08232886
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,-29.59504661,-32.00268831,-31.97932386
54,-32.98041706,-31.1070747,-32.90397543
55,-32.42154953,-33.92632072,-33.98694633
56,-35.63480241,-33.32833813,-35.7347721
57,-34.39503632,-36.46061074,-36.45987781
58,-35.05978064,-37.29278685,-36.99837483
59,-35.49073665,-37.31255105,-37.17999662
60,-35.79544051,-37.07324385,-37.21048375
61,-36.35750641,-37.2741059,-37.27958694
62,-36.57392258,-37.36088741,-37.41979897
63,-37.0875192,-37.11764803,-37.1170845
64,-36.95110021,-37.1158469,-37.11532341
65,-36.41910637,-36.25262521,-36.22688853
66,-32.63648503,-32.25860031,-33.24253464
67,-24.08236846,-24.05666423,-23.0693366
68,0,0,0
69,0,0,0
70,0,0,0
71,-32.02843851,-32.16384984,-29.27523116
72,-33.2843747,-33.35601749,-31.41479076
73,-35.42038507,-31.97359209,-35.52184126
74,-37.44293562,-37.41862817,-33.33746441
75,-34.15004108,-39.05933727,-39.07703042
76,-34.89099684,-39.63896753,-39.75144406
77,-35.68395787,-40.2909203,-40.22479519
78,-36.43603082,-39.91364776,-39.90185384
79,-39.1810385,-36.7100163,-39.16015836
80,-37.01363825,-38.44184579,-38.38250322
81,-37.30032901,-38.05833557,-38.08162755
82,-37.52370721,-37.67933586,-37.59103842
83,-37.47791561,-37.59810763,-37.56817887
84,-35.7912661,-36.00598219,-36.03181951
85,-32.90790729,-32.6772242,-32.06095063
86,-15.94437982,-19.43223617,-17.19441495
87,0,0,0
88,0,0,0
89,-32.58451229,-30.2584153,-32.6077243
90,-34.15701469,-30.94517998,-34.09278034
91,-32.17678723,-36.89077435,-36.80384703
92,-32.77245,-38.73541631,-38.68546484
93,-43.15779669,-33.35066167,-43.09868345
94,-44.54758627,-43.12764525,-44.56395102
95,-43.36801877,-44.75366465,-44.77927777
96,-36.74489747,-42.29225231,-42.2871711
97,-37.28349385,-41.29132243,-41.1519152
98,-37.631862,-39.94294975,-40.01246195
99,-37.6334883,-38.98874417,-39.04493705
100,-37.9905551,-38.24073706,-38.23425972
101,-38.06233908,-38.08266783,-38.1395933
102,-37.87001037,-37.84992133,-37.82801402
103,-35.11674921,-34.57868709,-34.47984028
104,-31.84871605,-31.05281309,-31.78383438
105,-10.87465841,-9.667329868,-13.6986007
106,0,0,0
107,-32.72576826,-32.62908218,-30.27563597
108,-35.53991373,-35.52383589,-30.48211354
109,-31.28037963,-37.31904152,-37.37470294
110,-43.09774459,-43.09411688,-37.55477584
111,-43.03909504,-44.22729082,-44.24151547
112,-44.68288542,-44.68025372,-42.91835544
113,-45.04397971,-45.03242312,-44.47705148
114,-44.71224715,-45.26994036,-45.26690746
115,-37.6183832,-42.22621019,-42.30513032
116,-38.00123458,-41.51477257,-41.54711928
117,-38.23299552,-39.82393152,-39.76321312
118,-39.35673587,-39.4004019,-38.65648815
119,-38.42225662,-38.73155365,-38.73183619
120,-38.30102752,-38.42313167,-38.35131011
121,-35.1469701,-35.50964558,-35.8889278
122,-32.30959112,-33.04402498,-32.13500482
123,-27.06519672,-28.1813319,-27.87215873
124,0,0,0
125,-32.30393794,-32.36204017,-29.9840019
126,-35.34235855,-35.40009273,-30.00623798
127,-30.48482661,-37.64559191,-37.58049115
128,-42.81829593,-43.26861618,-43.31382564
129,-44.16804174,-44.17936361,-42.776613
